Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,HeatingQC,CentralAir,Electrical,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageQual,GarageCond,PavedDrive,Fence,SaleType,SaleCondition,SalePrice,group,lotarea_new,grlivarea_new,_1stflrsf_new,age_built,age_remode,y
1,60,RL,Pave,OT,Reg,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,No,706,Ex,Y,type1,1,2,3,1,Gd,8,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,208500,train,9.04192172,7.44424865,6.752270376,8,8,12.24769432
2,20,RL,Pave,OT,Reg,Low,Other,Veenker,Artery,Type1,Type2,6,8,Other,type2,type2,TA,CBlock,Gd,TA,Gd,978,Ex,Y,type1,0,2,3,1,TA,6,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,181500,train,9.169518378,7.140453043,7.140453043,35,35,12.10901093
3,60,RL,Pave,OT,IR,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,486,Ex,Y,type1,1,2,3,1,Gd,6,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,223500,train,9.328123408,7.487733761,6.82437367,10,9,12.31716669
4,70,RL,Pave,OT,IR,Low,Other,Crawfor,Norm,Type1,Type2,7,5,Other,type2,type2,TA,type1,TA,Gd,No,216,Gd,Y,type1,1,1,3,1,Gd,7,1,Gd,type1,3,TA,TA,Y,OT,old,Family,140000,train,9.164296434,7.448333861,6.867974409,96,41,11.8493977
5,60,RL,Pave,OT,IR,Low,Other,NoRidge,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,655,Ex,Y,type1,1,2,4,1,Gd,9,1,TA,Attchd,3,TA,TA,Y,OT,old,Normal,250000,train,9.565213694,7.695303135,7.043159916,11,11,12.4292162
6,50,RL,Pave,OT,IR,Low,Other,Mitchel,Norm,Type1,Type1,5,5,Other,type3,type3,TA,type1,Gd,TA,No,732,Ex,Y,type1,1,1,1,1,TA,5,0,OT,Attchd,2,TA,TA,Y,MnPrv,old,Normal,143000,train,9.554993341,7.216709487,6.679599186,18,16,11.87059991
7,20,RL,Pave,OT,Reg,Low,Other,Somerst,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Ex,TA,Mn,1369,Ex,Y,type1,1,2,3,1,Gd,7,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,307000,train,9.218705288,7.434847875,7.434847875,7,6,12.63460303
8,60,RL,Pave,OT,IR,Low,Other,NWAmes,Pos,Type1,Type2,7,6,Other,type3,type3,TA,CBlock,Gd,TA,Mn,859,Ex,Y,type1,1,2,3,1,TA,7,2,TA,Attchd,2,TA,TA,Y,OT,old,Normal,200000,train,9.247828816,7.644919345,7.009408933,38,38,12.20607265
9,50,RM,Pave,OT,Reg,Low,Other,OldTown,Artery,Type1,Type1,7,5,Other,type3,type2,TA,type1,TA,TA,No,0,Gd,Y,type2,0,2,2,2,TA,8,2,TA,type1,2,Fa,TA,Y,OT,old,Family,129900,train,8.719317376,7.480992163,6.929516771,80,61,11.7745202
10,190,RL,Pave,OT,Reg,Low,Other,BrkSide,Artery,Type2,Type1,5,6,Other,type2,type2,TA,type1,TA,TA,No,851,Ex,Y,type1,1,1,2,2,TA,5,2,TA,Attchd,1,Gd,TA,Y,OT,old,Normal,118000,train,8.911934336,6.981934677,6.981934677,72,61,11.6784399
